City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Amahai,ID,2022-01-30 22:21:58,-3.3333,128.9167,78.6,82,100,8.75
124,Kodiak,US,2022-01-30 22:17:58,57.79,-152.4072,26.11,68,0,13.8
125,Zihuatanejo,MX,2022-01-30 22:21:59,17.6333,-101.55,86.09,66,0,6.91
126,Rikitea,PF,2022-01-30 22:19:16,-23.1203,-134.9692,76.55,69,100,4.16
127,Sao Joao Da Barra,BR,2022-01-30 22:20:31,-21.6403,-41.0511,76.77,89,9,9.26
128,Odienne,CI,2022-01-30 22:22:00,9.51,-7.5692,78.8,15,36,4.36
129,Beyneu,KZ,2022-01-30 22:22:00,45.3167,55.2,32.86,81,100,16.26
130,Ukiah,US,2022-01-30 22:22:00,39.1502,-123.2078,68.43,39,0,0.0
131,Vila Franca Do Campo,PT,2022-01-30 22:19:23,37.7167,-25.4333,59.41,80,47,15.12
132,Talcahuano,CL,2022-01-30 22:20:21,-36.7167,-73.1167,67.68,52,0,21.85
133,Tecolutla,MX,2022-01-30 22:22:01,20.4833,-97.0167,69.66,76,41,9.01
134,Lincoln,US,2022-01-30 22:22:02,40.8,-96.667,49.39,45,0,1.99
135,Stornoway,GB,2022-01-30 22:22:02,58.2093,-6.3865,40.96,87,75,10.0
136,Barrow,US,2022-01-30 22:22:03,71.2906,-156.7887,-7.58,84,100,10.36
137,Hervey Bay,AU,2022-01-30 22:20:00,-25.2986,152.8535,80.04,79,19,9.22
138,Bandundu,CD,2022-01-30 22:22:03,-3.3167,17.3667,77.2,75,100,4.56
139,Castro,BR,2022-01-30 22:21:23,-24.7911,-50.0119,63.91,97,98,8.19
140,Tasiilaq,GL,2022-01-30 22:23:04,65.6145,-37.6368,8.76,50,96,12.75
141,Danjiangkou,CN,2022-01-30 22:23:04,32.5428,111.5086,36.59,77,99,3.83
142,Villazon,BO,2022-01-30 22:23:05,-22.0866,-65.5942,55.63,68,76,14.38
143,Lakatoro,VU,2022-01-30 22:23:06,-16.0999,167.4164,80.44,83,100,8.12
144,Port Moresby,PG,2022-01-30 22:23:06,-9.4431,147.1797,74.62,94,75,11.5
145,Khatanga,RU,2022-01-30 22:23:07,71.9667,102.5,-5.91,98,99,9.71
146,Nieuw Amsterdam,SR,2022-01-30 22:23:07,5.8833,-55.0833,82.42,75,20,6.91
147,Lagoa,PT,2022-01-30 22:19:35,39.05,-27.9833,58.53,70,50,26.51
148,Coihaique,CL,2022-01-30 22:23:08,-45.5752,-72.0662,56.01,47,40,8.05
149,Fuzhou,CN,2022-01-30 22:19:39,26.0614,119.3061,46.29,86,31,3.56
150,Urumqi,CN,2022-01-30 22:23:09,43.801,87.6005,-4.85,84,75,2.24
151,Sao Filipe,CV,2022-01-30 22:18:31,14.8961,-24.4956,70.99,74,99,14.36
152,Samarai,PG,2022-01-30 22:21:18,-10.6167,150.6667,81.86,74,100,8.88
153,Havelock,US,2022-01-30 22:20:48,34.8791,-76.9013,44.58,57,6,1.99
154,Richards Bay,ZA,2022-01-30 22:23:10,-28.783,32.0377,71.04,87,98,5.73
155,Amot,NO,2022-01-30 22:23:10,59.5714,7.9877,18.5,87,100,2.98
156,Raudeberg,NO,2022-01-30 22:23:11,61.9875,5.1352,33.19,69,100,3.0
157,Nanakuli,US,2022-01-30 22:23:12,21.3906,-158.1547,80.55,55,0,13.8
158,Victoria,HK,2022-01-30 22:20:19,22.2855,114.1577,58.32,77,86,1.01
159,Pokrovsk,UA,2022-01-30 22:23:13,48.282,37.1758,30.97,96,100,15.52
160,Saint-Philippe,RE,2022-01-30 22:23:13,-21.3585,55.7679,78.39,82,46,11.36
161,Rio Gallegos,AR,2022-01-30 22:23:14,-51.6226,-69.2181,57.25,28,20,31.07
162,Udachnyy,RU,2022-01-30 22:23:14,66.4167,112.4,-29.69,100,80,2.68
163,Kutum,SD,2022-01-30 22:23:15,14.2,24.6667,54.5,17,1,13.8
164,Esperance,AU,2022-01-30 22:23:15,-33.8667,121.9,66.04,78,45,13.06
165,Dharchula,IN,2022-01-30 22:23:16,29.85,80.5333,45.46,48,0,6.78
166,Chuy,UY,2022-01-30 22:23:16,-33.6971,-53.4616,73.56,68,20,14.29
167,Grindavik,IS,2022-01-30 22:23:17,63.8424,-22.4338,26.55,93,75,35.68
168,Bundaberg,AU,2022-01-30 22:23:17,-24.85,152.35,80.22,82,16,1.99
169,Pitea,SE,2022-01-30 22:23:17,65.3172,21.4794,1.49,93,13,7.49
170,Huangchuan,CN,2022-01-30 22:23:18,32.1272,115.0394,35.92,82,100,4.59
171,Bilibino,RU,2022-01-30 22:23:18,68.0546,166.4372,-12.64,96,75,5.12
172,Tororo,UG,2022-01-30 22:23:19,0.693,34.1809,69.3,71,63,5.64
173,Santa Rosa,PH,2022-01-30 22:22:34,14.3122,121.1114,78.85,80,70,10.33
174,Cochrane,CA,2022-01-30 22:20:34,51.1834,-114.4687,50.63,29,20,13.8
175,Nexo,DK,2022-01-30 22:23:20,55.0607,15.1306,37.49,60,3,22.57
176,Isangel,VU,2022-01-30 22:22:07,-19.55,169.2667,82.51,94,75,4.61
177,Ambovombe,MG,2022-01-30 22:23:20,-25.1667,46.0833,72.91,78,73,15.28
178,Kozhva,RU,2022-01-30 22:23:21,65.1073,57.0459,11.79,92,100,6.98
179,Caledon,ZA,2022-01-30 22:23:22,-34.23,19.4265,69.17,86,92,11.25
180,Brae,GB,2022-01-30 22:23:22,60.3964,-1.353,39.11,97,100,12.48
181,Flin Flon,CA,2022-01-30 22:23:22,54.7682,-101.865,6.64,78,100,6.91
182,Ternate,ID,2022-01-30 22:23:23,0.8,127.4,79.47,78,99,10.22
183,Leh,IN,2022-01-30 22:24:24,34.1667,77.5833,7.39,93,100,0.89
184,Victor Harbor,AU,2022-01-30 22:24:24,-35.5667,138.6167,78.73,83,54,4.18
185,Preobrazheniye,RU,2022-01-30 22:21:24,42.9019,133.9064,11.08,70,3,7.96
186,Anshun,CN,2022-01-30 22:24:25,26.25,105.9333,32.05,95,100,6.33
187,Miaray,PH,2022-01-30 22:24:25,7.5747,125.0444,69.15,90,54,2.28
188,Batagay,RU,2022-01-30 22:24:26,67.6333,134.6333,-35.5,99,53,1.68
189,Gotsu,JP,2022-01-30 22:24:26,35.0,132.2167,41.88,52,100,11.79
190,Torres,BR,2022-01-30 22:24:27,-29.3353,-49.7269,69.82,66,46,11.83
191,Goundam,ML,2022-01-30 22:24:27,16.4145,-3.6708,75.61,12,72,12.26
192,Sioux Lookout,CA,2022-01-30 22:24:27,50.1001,-91.917,10.78,85,100,5.75
193,Langsa,ID,2022-01-30 22:24:28,4.4683,97.9683,72.41,97,96,2.84
194,Borovoy,RU,2022-01-30 22:24:28,55.4333,86.0833,2.48,85,0,6.71
195,Port Elizabeth,ZA,2022-01-30 22:24:29,-33.918,25.5701,70.09,94,20,11.5
196,Dzheguta,RU,2022-01-30 22:24:29,43.9671,42.0426,19.53,71,33,8.08
197,Mayo,US,2022-01-30 22:24:29,38.8876,-76.5119,31.86,52,40,3.0
198,Thompson,CA,2022-01-30 22:22:35,55.7435,-97.8558,6.96,72,20,4.61
199,Savannah Bight,HN,2022-01-30 22:24:30,16.45,-85.85,73.99,66,90,14.52
200,Moi,NO,2022-01-30 22:24:31,58.4567,6.5518,37.27,90,100,2.21
201,Santo Amaro Das Brotas,BR,2022-01-30 22:24:31,-10.7889,-37.0544,81.86,79,55,8.25
202,Te Anau,NZ,2022-01-30 22:24:32,-45.4167,167.7167,66.97,70,21,0.67
203,Strezhevoy,RU,2022-01-30 22:24:32,60.7333,77.5889,6.78,95,100,8.68
204,Litovko,RU,2022-01-30 22:23:53,49.2361,135.1742,-28.68,100,32,1.41
205,Puerto Escondido,MX,2022-01-30 22:24:33,15.85,-97.0667,82.9,60,0,6.17
206,Tignere,CM,2022-01-30 22:24:33,7.3667,12.65,64.15,22,85,3.38
207,Shimanovsk,RU,2022-01-30 22:24:34,52.0,127.7,-7.11,93,52,5.75
208,Bubaque,GW,2022-01-30 22:24:34,11.2833,-15.8333,78.21,72,48,11.48
209,Chodavaram,IN,2022-01-30 22:24:35,17.8333,82.95,63.75,67,0,2.21
210,Oussouye,SN,2022-01-30 22:24:35,12.485,-16.5469,78.98,70,100,9.19
211,Lima,PE,2022-01-30 22:20:33,-12.0432,-77.0282,72.9,76,0,1.99
212,Lubao,PH,2022-01-30 22:24:36,14.9167,120.55,78.82,86,93,4.18
213,Boende,CD,2022-01-30 22:24:36,-0.2167,20.8667,81.43,28,100,2.13
214,Maniitsoq,GL,2022-01-30 22:24:37,65.4167,-52.9,8.37,81,100,14.65
215,Gizo,SB,2022-01-30 22:24:37,-8.103,156.8419,83.66,74,100,8.61
216,Najran,SA,2022-01-30 22:22:16,17.4924,44.1277,59.65,30,15,1.81
217,Miandrivazo,MG,2022-01-30 22:24:38,-19.5167,45.4667,79.21,79,48,2.46
218,Rocha,UY,2022-01-30 22:21:02,-34.4833,-54.3333,73.0,68,0,11.45
219,Visby,SE,2022-01-30 22:24:38,57.6409,18.296,34.02,69,40,28.77
220,Sydney,AU,2022-01-30 22:21:28,-33.8679,151.2073,79.56,77,75,1.01
221,Korem,ET,2022-01-30 22:24:39,12.5058,39.5228,50.95,67,96,3.51
222,Mahaban,IN,2022-01-30 22:24:39,27.4333,77.75,51.49,54,0,2.66
223,Impfondo,CG,2022-01-30 22:24:40,1.6381,18.0667,73.02,30,100,1.54
224,Labuan,MY,2022-01-30 22:24:40,5.2767,115.2417,77.36,94,40,3.44
225,Pisco,PE,2022-01-30 22:24:17,-13.7,-76.2167,73.45,68,75,4.61
226,Kamiiso,JP,2022-01-30 22:24:41,41.8167,140.65,14.38,85,75,6.91
227,Baghdad,IQ,2022-01-30 22:23:12,33.3406,44.4009,44.51,65,0,3.44
228,Qaqortoq,GL,2022-01-30 22:21:56,60.7167,-46.0333,21.7,63,100,16.82
229,Norman Wells,CA,2022-01-30 22:24:42,65.282,-126.8329,-25.56,68,75,0.0
230,Hay River,CA,2022-01-30 22:24:43,60.8156,-115.7999,-7.62,77,100,6.91
231,Altay,CN,2022-01-30 22:20:56,47.8667,88.1167,3.58,54,33,7.34
232,Cayenne,GF,2022-01-30 22:25:43,4.9333,-52.3333,77.04,90,24,4.0
233,Havre-Saint-Pierre,CA,2022-01-30 22:25:44,50.2334,-63.5986,12.2,72,40,14.97
234,Sandy Bay,AU,2022-01-30 22:25:44,-42.913,147.3532,72.14,80,20,1.01
235,Maarianhamina,AX,2022-01-30 22:25:45,60.0973,19.9348,28.26,74,20,14.97
236,Arraial Do Cabo,BR,2022-01-30 22:25:45,-22.9661,-42.0278,76.86,88,75,10.36
237,Saint George,US,2022-01-30 22:21:34,37.1041,-113.5841,64.87,16,0,1.01
238,Ha Giang,VN,2022-01-30 22:25:46,22.8333,104.9833,55.49,96,100,1.3
239,Andros Town,BS,2022-01-30 22:25:46,24.7,-77.7667,64.36,57,93,13.42
240,Isla Mujeres,MX,2022-01-30 22:25:46,21.2311,-86.731,71.65,61,86,9.8
241,Saint-Jerome,CA,2022-01-30 22:25:47,45.7804,-74.0036,14.29,60,75,6.91
242,Abha,SA,2022-01-30 22:25:47,18.2164,42.5053,55.22,62,0,3.44
243,Melito Di Porto Salvo,IT,2022-01-30 22:21:19,37.9222,15.7714,55.78,66,20,12.66
244,Sinnamary,GF,2022-01-30 22:25:48,5.3833,-52.95,76.39,87,51,11.9
245,Cuenca,EC,2022-01-30 22:22:43,-2.8833,-78.9833,60.93,77,100,11.5
246,Dingle,PH,2022-01-30 22:25:48,10.9995,122.6711,73.74,94,66,3.74
247,Nanortalik,GL,2022-01-30 22:25:49,60.1432,-45.2371,16.25,88,100,21.97
248,Cave Spring,US,2022-01-30 22:22:51,37.2276,-80.0128,40.91,44,0,1.99
249,Koulamoutou,GA,2022-01-30 22:25:49,-1.1303,12.4736,73.92,81,88,2.53
250,Salinopolis,BR,2022-01-30 22:25:50,-0.6136,-47.3561,77.59,87,100,11.1
251,Seddon,AU,2022-01-30 22:25:50,-37.8068,144.8916,76.6,82,75,2.3
252,Ciudad Bolivar,VE,2022-01-30 22:23:55,8.1222,-63.5497,89.58,35,19,12.88
253,Beringovskiy,RU,2022-01-30 22:25:51,63.05,179.3167,-8.84,100,100,10.16
254,Kimbe,PG,2022-01-30 22:25:51,-5.5502,150.1429,79.41,87,100,1.57
255,Antalaha,MG,2022-01-30 22:21:52,-14.9003,50.2788,75.33,86,16,7.78
256,Namibe,AO,2022-01-30 22:21:00,-15.1961,12.1522,73.26,71,100,5.23
257,Molango,MX,2022-01-30 22:25:52,20.7833,-98.7167,59.76,60,7,6.53
258,Kaitangata,NZ,2022-01-30 22:25:53,-46.2817,169.8464,70.93,73,16,0.29
259,Abancay,PE,2022-01-30 22:25:53,-13.6339,-72.8814,63.64,80,100,6.13
260,Verkhnyaya Sinyachikha,RU,2022-01-30 22:25:53,57.976,61.6673,8.13,97,100,1.01
261,Taitung,TW,2022-01-30 22:25:54,22.7583,121.1444,61.07,77,75,8.05
262,Acajutla,SV,2022-01-30 22:25:54,13.5928,-89.8275,87.8,46,1,4.05
263,Tiksi,RU,2022-01-30 22:21:00,71.6872,128.8694,-18.11,100,96,4.45
264,Komsomolskiy,UZ,2022-01-30 22:25:55,40.4272,71.7189,29.62,86,100,2.3
265,Yinchuan,CN,2022-01-30 22:25:55,38.4681,106.2731,16.21,31,0,6.11
266,Ahuimanu,US,2022-01-30 22:25:56,21.4447,-157.8378,80.31,59,40,5.99
267,Hirara,JP,2022-01-30 22:25:56,24.8,125.2833,60.66,58,75,17.27
268,Do Gonbadan,IR,2022-01-30 22:25:56,30.3586,50.7981,44.69,70,40,0.0
269,Cap-Aux-Meules,CA,2022-01-30 22:25:57,47.3821,-61.8597,21.22,68,75,24.16
270,Auki,SB,2022-01-30 22:25:57,-8.7676,160.7034,81.81,80,99,1.95
271,Lebu,CL,2022-01-30 22:22:31,-37.6167,-73.65,60.28,65,0,20.49
272,Ancud,CL,2022-01-30 22:25:58,-41.8697,-73.8203,62.13,58,32,12.21
273,Shelburne,CA,2022-01-30 22:25:58,44.0787,-80.2041,18.05,74,64,5.61
274,De-Kastri,RU,2022-01-30 22:25:59,51.4667,140.7833,-11.09,95,89,9.13
275,Tarbagatay,RU,2022-01-30 22:25:59,51.4803,107.3602,-22.47,100,100,2.71
276,Bako,ET,2022-01-30 22:26:00,5.7833,36.5667,68.29,34,100,3.22
277,Mozarlandia,BR,2022-01-30 22:27:01,-14.7447,-50.5706,71.98,94,100,3.96
278,Hamilton,US,2022-01-30 22:27:01,39.1834,-84.5333,38.93,59,0,1.99
279,Dharmavaram,IN,2022-01-30 22:27:01,14.4333,77.7167,72.23,59,1,3.0
280,Linhares,BR,2022-01-30 22:27:02,-19.3911,-40.0722,79.65,81,98,8.77
281,Opuwo,NA,2022-01-30 22:27:02,-18.0607,13.84,64.4,51,38,8.66
