City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Nome,US,64.5011,-165.4064,3.16,77,0,0.0,clear sky
153,Taltal,CL,-25.4,-70.4833,65.52,78,11,3.44,few clouds
154,Portland,US,45.5234,-122.6762,49.35,90,75,1.01,broken clouds
155,Smithers,CA,54.7804,-127.1743,26.92,93,75,0.0,broken clouds
156,Fernandez,AR,-27.9204,-63.8935,76.87,37,4,7.9,clear sky
157,Padang,ID,-0.9492,100.3543,82.45,66,81,0.96,broken clouds
158,Puerto Ayora,EC,-0.7393,-90.3518,73.36,84,100,5.14,overcast clouds
159,Taoudenni,ML,22.6783,-3.9836,67.68,13,79,15.84,broken clouds
160,Ixtapa,MX,20.7,-105.2,72.63,83,0,3.44,clear sky
161,Dicabisagan,PH,17.0818,122.4157,73.92,88,90,11.16,overcast clouds
162,Bowen,AU,-20.0167,148.2333,84.67,70,7,12.82,clear sky
163,Shetpe,KZ,44.1667,52.1167,35.44,88,91,7.58,overcast clouds
164,Mandello Del Lario,IT,45.9192,9.3193,43.84,81,24,2.35,few clouds
165,Santa Cruz De Tenerife,ES,28.4682,-16.2546,65.28,76,0,5.99,clear sky
166,Chiesd,RO,47.3833,22.8833,35.89,83,98,13.76,overcast clouds
167,Bethel,US,41.3712,-73.414,21.92,68,0,0.0,clear sky
168,Erenhot,CN,43.6475,111.9767,6.28,79,99,11.86,overcast clouds
169,Sambava,MG,-14.2667,50.1667,75.85,87,16,8.34,few clouds
170,Puerto Carreno,CO,6.189,-67.4859,78.13,41,15,8.55,few clouds
171,Esperance,AU,-33.8667,121.9,69.48,69,70,19.13,broken clouds
172,Mabai,CN,23.0128,104.4508,44.78,96,100,3.31,overcast clouds
173,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,79,94,14.54,overcast clouds
174,Beruwala,LK,6.4788,79.9828,81.05,76,25,1.88,scattered clouds
175,Bucerias,MX,20.75,-105.3333,73.38,83,0,3.44,clear sky
176,Grindavik,IS,63.8424,-22.4338,28.87,69,75,20.71,light snow
177,Bavly,RU,54.393,53.2602,15.42,98,86,5.23,overcast clouds
178,Mataura,NZ,-46.1927,168.8643,71.47,58,87,5.12,overcast clouds
179,Valsamata,GR,38.1667,20.6,35.17,71,12,15.3,few clouds
180,Guasdualito,VE,7.2424,-70.7324,78.8,61,20,3.44,few clouds
181,Naze,JP,28.3667,129.4833,58.12,54,96,17.47,overcast clouds
182,Leland,US,34.2563,-78.0447,47.97,79,0,0.0,clear sky
183,Havoysund,NO,70.9963,24.6622,27.48,78,100,21.39,light snow
184,Meulaboh,ID,4.1363,96.1285,83.57,69,63,3.33,broken clouds
185,Chimore,BO,-16.9833,-65.1333,73.51,87,89,1.41,overcast clouds
186,Aktau,KZ,43.65,51.2,34.38,88,45,10.25,scattered clouds
187,Hilo,US,19.7297,-155.09,74.93,71,20,9.22,few clouds
188,Prainha,BR,-1.8,-53.48,73.9,95,100,3.94,moderate rain
189,Scarborough,GB,54.2797,-0.4044,43.54,71,42,7.0,scattered clouds
190,Poum,NC,-20.2333,164.0167,80.37,74,100,11.16,overcast clouds
191,Lazy,PL,50.35,19.4167,36.43,79,93,14.94,overcast clouds
192,Antigonish,CA,45.6169,-61.9986,23.92,80,83,3.0,broken clouds
193,Vardo,NO,70.3705,31.1107,30.34,65,83,17.36,broken clouds
194,Fernley,US,39.608,-119.2518,46.47,40,18,3.2,few clouds
195,Dubbo,AU,-32.25,148.6167,89.73,51,44,5.75,scattered clouds
196,Sao Filipe,CV,14.8961,-24.4956,71.2,72,100,10.38,overcast clouds
197,Black Forest,US,39.0131,-104.7008,35.96,34,0,1.01,clear sky
198,Port Alfred,ZA,-33.5906,26.891,72.66,89,100,13.09,overcast clouds
199,Havelock,US,34.8791,-76.9013,44.58,66,73,6.24,broken clouds
200,Mayo,US,38.8876,-76.5119,30.24,66,100,3.0,overcast clouds
201,Narsaq,GL,60.9167,-46.05,18.27,90,100,16.91,snow
202,Loreto,MX,22.2667,-101.9667,60.94,28,15,7.87,few clouds
203,Ozinki,RU,51.1786,49.6769,19.54,98,94,8.39,overcast clouds
204,Kyaikkami,MM,16.08,97.5675,73.81,66,46,6.02,scattered clouds
205,Pontianak,ID,-0.0333,109.3333,85.98,74,75,4.61,broken clouds
