City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Ghanzi,BW,66.42,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
383,Tsabong,BW,70.05,moderate rain,-26.0217,22.401,Springbok Motel
384,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
390,Kawalu,ID,84.97,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
392,San Cristobal,VE,66.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
393,Marawi,PH,74.64,overcast clouds,7.9986,124.2928,Derogongan Residence
394,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
395,Berbera,SO,71.06,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
402,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
403,Paka,MY,82.33,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
404,Maningrida,AU,79.11,light rain,-12.0667,134.2667,Dhukurrdji Lodge
408,Sirsi,IN,72.19,clear sky,14.6167,74.85,Tripvillas @ Sapna Yatri Nivas
420,Bosaso,SO,71.53,overcast clouds,11.2842,49.1816,Red Sea Hotel
421,Sarangani,PH,82.29,overcast clouds,5.4033,125.4636,Ballistic Islet
422,Fare,PF,81.07,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
423,Paita,PE,71.78,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
425,Tagusao,PH,84.27,scattered clouds,9.1924,117.8141,Green Villa beach resort
426,Dwarka,IN,71.04,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
428,Bacungan,PH,85.55,scattered clouds,9.9106,118.7022,Sumayang Property
430,Janauba,BR,70.0,overcast clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
439,Moranbah,AU,93.31,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
440,Gisborne,NZ,69.94,few clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
443,Antofagasta,CL,65.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
446,Tuatapere,NZ,71.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
447,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
448,Sungai Padi,TH,87.71,scattered clouds,6.0851,101.8766,237บอล&บาส
449,Dawei,MM,78.91,clear sky,14.0833,98.2,Hotel Dawei
451,Murchison,NZ,86.95,broken clouds,-41.8,172.3333,OFF THE BEATEN TRAIL ACCOMMODATION & BIKE HIRE.
453,Buchanan,LR,78.26,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
457,Cap Malheureux,MU,81.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
461,Eltham,NZ,71.44,broken clouds,-39.4292,174.3,Stonewall House Bed & Breakfast
466,Alyangula,AU,87.19,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
468,Puri,IN,70.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
469,Labuhan,ID,83.23,overcast clouds,-6.8844,112.2051,DoubleFAG
470,Sinnamary,GF,76.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
471,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
472,Harper,LR,77.9,broken clouds,4.375,-7.7169,Screensaver
476,Anito,PH,83.62,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
478,Tumpat,MY,87.93,scattered clouds,6.1978,102.171,Baan Tanyong B&B
482,Wanning,CN,69.78,overcast clouds,18.8003,110.3967,Paradise Hotel
487,Luanda,AO,76.28,overcast clouds,-8.8368,13.2343,Hotel Fórum
488,Beyla,GN,68.94,clear sky,8.6833,-8.6333,DIAN SINKO
